phase,rf_r2,rf_mae,rf_rmse,dt_acc,tertile_q1,tertile_q2,n_features,n_train,n_test
Liq,0.7806779154342812,65.30756332385579,112.38910902938274,0.7291666666666666,8.259999999999996,129.9999999999998,73,142,48
Gas,0.7066817496013305,10.379145595551963,18.16767616197183,0.7428571428571429,1.0688888890000001,6.266666666666663,51,103,35
